,Unnamed: 0,track_id,timestamp_ms,x,y,vx,vy,ax,ay
18,18,reprocessed_2024-07-16-14-52-39.bag_797,66268.45678710938,-3.025000111998793,-2.706464685247198,-1.3575215974963626,-0.4924687653615516,0.0,0.0
19,19,reprocessed_2024-07-16-14-52-39.bag_797,66335.32788085938,-3.143698478124179,-2.7418627618592097,-1.4137754497448696,-0.4681211643283994,0.0,0.0
20,20,reprocessed_2024-07-16-14-52-39.bag_797,66401.9609375,-3.143698478124179,-2.7418627618592097,-1.4137754497448696,-0.4681211643283994,0.0,0.0
21,21,reprocessed_2024-07-16-14-52-39.bag_797,66535.36791992188,-3.143698478124179,-2.7418627618592097,-1.4137754497448696,-0.4681211643283994,0.0,0.0
22,22,reprocessed_2024-07-16-14-52-39.bag_797,66601.94702148438,-3.421494011875268,-2.7945288951009104,-1.3711517172241443,-0.4188357648921882,0.0,0.0
23,23,reprocessed_2024-07-16-14-52-39.bag_797,66668.4609375,-3.539918174644697,-2.815209174277157,-1.3995255553613015,-0.3882976637528391,0.0,0.0
24,24,reprocessed_2024-07-16-14-52-39.bag_797,66735.36181640625,-3.62642742320628,-2.852784376995998,-1.4107208461305896,-0.3665974029474831,0.0,0.0
25,25,reprocessed_2024-07-16-14-52-39.bag_797,66801.97192382812,-3.740197707347932,-2.89458662204558,-1.4339863820624608,-0.3846355070050508,0.0,0.0
26,26,reprocessed_2024-07-16-14-52-39.bag_797,66868.61987304688,-3.840857201773588,-2.9400274761073035,-1.421332314873305,-0.3837505401582211,0.0,0.0
27,27,reprocessed_2024-07-16-14-52-39.bag_797,66935.3759765625,-3.925465113674818,-2.9718249165023,-1.3523650570066403,-0.3922711401323045,0.0,0.0
28,28,reprocessed_2024-07-16-14-52-39.bag_797,67001.97998046875,-3.994431564533216,-2.990629276638117,-1.3450439063118451,-0.3916020126115601,0.0,0.0
29,29,reprocessed_2024-07-16-14-52-39.bag_797,67101.97290039062,-4.051529830375102,-2.9509528684194493,-1.30675540353456,-0.3576195865585932,0.0,0.0
30,30,reprocessed_2024-07-16-14-52-39.bag_797,67168.49291992188,-4.124005190755213,-2.9537046816860766,-1.323204238735157,-0.3362538280601755,-0.0156023262686947,0.1618364993637247
31,31,reprocessed_2024-07-16-14-52-39.bag_797,67235.38696289062,-4.191833379611239,-2.9683421657709346,-1.2933096125313597,-0.3135610458961204,0.1132102176975363,0.1593501210993856
32,32,reprocessed_2024-07-16-14-52-39.bag_797,67302.01879882812,-4.3087552421370106,-2.998513181597218,-1.296865517506377,-0.3204573722518289,0.0918868284771229,0.1305149233392314
33,33,reprocessed_2024-07-16-14-52-39.bag_797,67368.5078125,-4.343717617797722,-3.005367008406523,-1.2282240199913128,-0.3193491994356903,0.2377826667668194,0.0862693444270406
34,34,reprocessed_2024-07-16-14-52-39.bag_797,67435.39086914062,-4.437276243661984,-2.99964264664024,-1.25180123720045,-0.2748824477617824,0.2192654014004149,0.1203172508785792
35,35,reprocessed_2024-07-16-14-52-39.bag_797,67502.005859375,-4.5460686714095,-3.0501603538049267,-1.2932523786404957,-0.3173012841889923,0.1919682813490608,0.0837196526874245
36,36,reprocessed_2024-07-16-14-52-39.bag_797,67602.02490234375,-4.616706037850179,-3.043548685143719,-1.2219992258155132,-0.2776043903111544,0.244221499085701,0.1220811923388981
37,37,reprocessed_2024-07-16-14-52-39.bag_797,67702.01293945312,-4.616706037850179,-3.043548685143719,-1.2219992258155132,-0.2776043903111544,0.244221499085701,0.1220811923388981
38,38,reprocessed_2024-07-16-14-52-39.bag_797,67768.51391601562,-4.616706037850179,-3.043548685143719,-1.2219992258155132,-0.2776043903111544,0.244221499085701,0.1220811923388981
39,39,reprocessed_2024-07-16-14-52-39.bag_797,67835.38891601562,-4.896845334841601,-3.1129420371686365,-1.2325671625085772,-0.2842595590546103,0.1363805480215802,0.1319931478135633
40,40,reprocessed_2024-07-16-14-52-39.bag_797,67902.20678710938,-4.9703020921490975,-3.139936799882008,-1.1871616024219156,-0.2904654419140004,0.1933425582673341,0.1217007693799386
41,41,reprocessed_2024-07-16-14-52-39.bag_797,68002.01782226562,-5.063966816869936,-3.159831695054692,-1.1635166707535791,-0.266310204024193,0.1787410583745245,0.1119169201988389
42,42,reprocessed_2024-07-16-14-52-39.bag_797,68068.51196289062,-5.141647610493351,-3.20737781197397,-1.1275322902661853,-0.2721420480307824,0.2575854638664192,0.0710271251042068
43,43,reprocessed_2024-07-16-14-52-39.bag_797,68135.40380859375,-5.2231759673478,-3.218084004833713,-1.1080984432677197,-0.2373586137577599,0.241948564749282,0.089103123042381
44,44,reprocessed_2024-07-16-14-52-39.bag_797,68235.40185546875,-5.296397879841436,-3.2228271756765423,-1.072419352943988,-0.2087659069217443,0.2829649995551261,0.1280462689555399
45,45,reprocessed_2024-07-16-14-52-39.bag_797,68335.4208984375,-5.43686659002492,-3.246120249892499,-1.0970159458954298,-0.2054695951594566,0.1551356706967993,0.1296752538061479
46,46,reprocessed_2024-07-16-14-52-39.bag_797,68435.40893554688,-5.598122169156795,-3.340295494737603,-1.1664644058820484,-0.2947134299031558,0.1209302535442791,-0.0260636050706939
47,47,reprocessed_2024-07-16-14-52-39.bag_797,68568.55786132812,-5.792539581484846,-3.415176314959893,-1.1911723973389188,-0.3294477500255451,0.164598687292676,0.0115273512671937
48,48,reprocessed_2024-07-16-14-52-39.bag_797,68835.42993164062,-5.988026977653192,-3.440453183273519,-1.172409031192824,-0.3211743787006575,0.1003899048274038,-0.0250618823446711
